# Title: q	KP: 225000.0	Integral: 1.194680e+05
# x	counts
0	0.000000e+00	0.000000e+00
0.005	0.000000e+00	0.000000e+00
0.01	0.000000e+00	0.000000e+00
0.015	0.000000e+00	0.000000e+00
0.02	1.033000e+03	3.214032e+01
0.025	7.699000e+03	8.774395e+01
0.03	8.237000e+03	9.075792e+01
0.035	5.763000e+03	7.591443e+01
0.04	4.017000e+03	6.337981e+01
0.045	3.457000e+03	5.879626e+01
0.05	3.188000e+03	5.646238e+01
0.055	2.839000e+03	5.328227e+01
0.06	2.668000e+03	5.165269e+01
0.065	2.389000e+03	4.887740e+01
0.07	2.154000e+03	4.641121e+01
0.075	2.166000e+03	4.654031e+01
0.08	2.070000e+03	4.549725e+01
0.085	2.106000e+03	4.589118e+01
0.09	2.214000e+03	4.705316e+01
0.095	2.256000e+03	4.749737e+01
0.1	2.152000e+03	4.638965e+01
0.105	2.188000e+03	4.677606e+01
0.11	2.184000e+03	4.673329e+01
0.115	2.183000e+03	4.672259e+01
0.12	2.157000e+03	4.644351e+01
0.125	2.209000e+03	4.700000e+01
0.13	2.088000e+03	4.569464e+01
0.135	2.026000e+03	4.501111e+01
0.14	2.040000e+03	4.516636e+01
0.145	1.988000e+03	4.458699e+01
0.15	2.008000e+03	4.481071e+01
0.155	1.934000e+03	4.397727e+01
0.16	1.933000e+03	4.396590e+01
0.165	1.851000e+03	4.302325e+01
0.17	1.767000e+03	4.203570e+01
0.175	1.751000e+03	4.184495e+01
0.18	1.614000e+03	4.017462e+01
0.185	1.649000e+03	4.060788e+01
0.19	1.603000e+03	4.003748e+01
0.195	1.442000e+03	3.797368e+01
0.2	1.453000e+03	3.811824e+01
0.205	1.343000e+03	3.664696e+01
0.21	1.308000e+03	3.616628e+01
0.215	1.271000e+03	3.565109e+01
0.22	1.149000e+03	3.389690e+01
0.225	1.137000e+03	3.371943e+01
0.23	1.034000e+03	3.215587e+01
0.235	9.290000e+02	3.047950e+01
0.24	8.890000e+02	2.981610e+01
0.245	9.190000e+02	3.031501e+01
0.25	8.560000e+02	2.925748e+01
0.255	8.100000e+02	2.846050e+01
0.26	7.220000e+02	2.687006e+01
0.265	7.550000e+02	2.747726e+01
0.27	6.590000e+02	2.567100e+01
0.275	6.630000e+02	2.574879e+01
0.28	6.310000e+02	2.511971e+01
0.285	5.940000e+02	2.437212e+01
0.29	5.580000e+02	2.362202e+01
0.295	5.450000e+02	2.334524e+01
0.3	5.130000e+02	2.264950e+01
0.305	4.990000e+02	2.233831e+01
0.31	4.530000e+02	2.128380e+01
0.315	4.280000e+02	2.068816e+01
0.32	4.110000e+02	2.027313e+01
0.325	3.710000e+02	1.926136e+01
0.33	3.730000e+02	1.931321e+01
0.335	3.600000e+02	1.897367e+01
0.34	3.280000e+02	1.811077e+01
0.345	3.000000e+02	1.732051e+01
0.35	3.010000e+02	1.734935e+01
0.355	2.680000e+02	1.637071e+01
0.36	2.610000e+02	1.615549e+01
0.365	2.170000e+02	1.473092e+01
0.37	2.330000e+02	1.526434e+01
0.375	2.280000e+02	1.509967e+01
0.38	2.040000e+02	1.428286e+01
0.385	2.010000e+02	1.417745e+01
0.39	1.890000e+02	1.374773e+01
0.395	1.590000e+02	1.260952e+01
0.4	1.670000e+02	1.292285e+01
0.405	1.430000e+02	1.195826e+01
0.41	1.590000e+02	1.260952e+01
0.415	1.390000e+02	1.178983e+01
0.42	1.200000e+02	1.095445e+01
0.425	1.000000e+02	1.000000e+01
0.43	1.150000e+02	1.072381e+01
0.435	9.600000e+01	9.797959e+00
0.44	1.150000e+02	1.072381e+01
0.445	9.900000e+01	9.949874e+00
0.45	9.700000e+01	9.848858e+00
0.455	7.700000e+01	8.774964e+00
0.46	9.100000e+01	9.539392e+00
0.465	6.000000e+01	7.745967e+00
0.47	6.600000e+01	8.124038e+00
0.475	6.100000e+01	7.810250e+00
0.48	6.200000e+01	7.874008e+00
0.485	5.300000e+01	7.280110e+00
0.49	4.900000e+01	7.000000e+00
0.495	5.400000e+01	7.348469e+00
