#x  Int1  Int1_err  Int2  Int2_err  Int1-2  Int1-2_err
0.35  474.0  21.77154  301.0  17.34935  -2.11111111111e-05  9.79953314527e-05
0.355  410.0  20.24846  268.0  16.37071  -5.22222222222e-05  9.19641849355e-05
0.36  409.0  20.22375  261.0  16.15549  -2.38888888889e-05  9.116697552e-05
0.365  356.0  18.86796  217.0  14.73092  2.44444444444e-05  8.38649673822e-05
0.37  351.0  18.73499  233.0  15.26434  -6.05555555556e-05  8.55032327347e-05
0.375  332.0  18.22087  228.0  15.09967  -9.11111111111e-05  8.4056133456e-05
0.38  311.0  17.63519  204.0  14.28286  -4.27777777778e-05  8.01830542739e-05
0.385  336.0  18.3303  201.0  14.17745  4e-05  8.10121220856e-05
0.39  296.0  17.20465  189.0  13.74773  -1.77777777778e-05  7.75711634055e-05
0.395  272.0  16.49242  159.0  12.60952  4.88888888889e-05  7.23844280896e-05
0.4  287.0  16.94107  167.0  12.92285  5.5e-05  7.42514073826e-05
0.405  248.0  15.74802  143.0  11.95826  5.33333333333e-05  6.8835109408e-05
0.41  218.0  14.76482  159.0  12.60952  -0.000101111111111  6.94466608472e-05
0.415  235.0  15.32971  139.0  11.78983  3.5e-05  6.75200154791e-05
0.42  173.0  13.15295  120.0  10.95445  -5.27777777778e-05  6.0870741238e-05
0.425  202.0  14.21267  100.0  10.0  0.000116666666667  5.94470396973e-05
0.43  176.0  13.2665  115.0  10.72381  -2.22222222222e-05  6.02464255763e-05
0.435  178.0  13.34166  96.0  9.797959  6.77777777778e-05  5.71817476196e-05
0.44  168.0  12.96148  115.0  10.72381  -4.44444444444e-05  5.97319257063e-05
0.445  138.0  11.74734  99.0  9.949874  -5.66666666667e-05  5.495789481e-05
0.45  164.0  12.80625  97.0  9.848858  2.44444444444e-05  5.64046262288e-05
0.455  125.0  11.18034  77.0  8.774964  5e-06  4.98547260776e-05
0.46  117.0  10.81665  91.0  9.539392  -7.94444444444e-05  5.19644878539e-05
0.465  108.0  10.3923  60.0  7.745967  3.33333333333e-05  4.49279182197e-05
0.47  110.0  10.48809  66.0  8.124038  1.22222222222e-05  4.63947114624e-05
0.475  83.0  9.110434  61.0  7.81025  -4.05555555556e-05  4.29577761242e-05
0.48  85.0  9.219544  62.0  7.874008  -3.94444444444e-05  4.33653724726e-05
0.485  87.0  9.327379  53.0  7.28011  6.11111111111e-06  4.14512955255e-05
0.49  63.0  7.937254  49.0  7.0  -4.27777777778e-05  3.81315139204e-05
0.495  71.0  8.42615  54.0  7.348469  -4.27777777778e-05  4.0180917561e-05
